person,promedioCadaCuantosDiasVuelve,cadaCuantasHorasHaceEventos,cadaCuantosMinutosHaceEventos,cadaCuantosDiasEnMes5HaceEventos,cadaCuantasHorasEnUnDiaDelMes5HaceEventos,cadaCuantosMinutosHaceEventosEnUnDiaYHoraDelMes5,cadaCuantosSegundosHaceEventosEnUnDiaYHoraDelMes5,cadaCuantasHorasHaceEventosEnSuUltimaConexionDelMes5,cadaCuantosMinutosHaceEventosEnSuUltimaConexionDelMes5,cadaCuantosSegundosHaceEventosEnSuUltimaConexionDelMes5,cadaCuantosDiasHaceConversion,cadaCuantosDiasHaceCheckout
008f739f,10,118,2852,3.0,1.0,2.0,41.0,1.0,0.0,4.0,-1.0,0.0
009648f0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00970caa,0,0,3,0.0,0.0,3.0,102.0,0.0,3.0,102.0,-1.0,0.0
00971729,6,167,503,7.0,0.0,2.0,36.0,0.0,1.0,22.0,0.0,6.0
009944e1,12,197,3057,6.0,0.0,8.0,263.0,0.0,0.0,0.0,0.0,0.0
009a5ed5,3,41,430,4.0,0.0,2.0,84.0,0.0,0.0,5.0,-1.0,0.0
009cbfb2,0,0,12,0.0,0.0,12.0,104.0,0.0,12.0,104.0,-1.0,0.0
009d27e8,0,1,9,0.0,2.0,11.0,139.0,2.0,11.333333333333334,139.33333333333334,-1.0,0.0
009f8292,29,359,6636,0.0,1.0,9.0,353.0,1.0,8.666666666666666,352.6666666666667,0.0,0.0
00a2efc2,0,4,61,1.0,1.0,6.0,159.0,0.0,2.0,44.0,-1.0,0.0
00a58494,0,0,0,0.0,0.0,1.0,22.0,0.0,1.0,22.0,-1.0,0.0
00a91f61,13,324,5568,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00af50bb,8,162,3644,0.0,3.0,2.0,50.0,3.0,2.0,49.5,-1.0,36.0
00afd018,25,349,16310,1.0,1.0,0.0,7.0,1.0,0.5,11.0,-1.0,-1.0
00b0fe02,0,0,1,0.0,0.0,2.0,36.0,0.0,2.0,36.0,-1.0,0.0
00b1b9d0,2,31,755,2.0,2.0,0.0,12.0,0.0,0.0,2.0,-1.0,-1.0
00b2b269,0,2,25,0.0,3.0,1.0,40.0,3.0,1.3333333333333333,39.666666666666664,-1.0,0.0
00b5303d,0,7,79,1.0,6.0,1.0,26.0,12.0,0.0,6.5,-1.0,0.0
00b6642b,0,0,2,0.0,0.0,3.0,39.0,0.0,3.0,39.0,-1.0,0.0
00b8bba9,2,30,153,2.0,6.0,1.0,21.0,0.0,0.0,0.0,-1.0,2.0
00b9f49d,0,0,0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,-1.0,0.0
00bc3bed,0,19,150,1.0,0.0,5.0,140.0,0.0,5.0,100.0,-1.0,0.0
00beac49,0,8,132,1.0,1.0,2.0,68.0,0.0,0.0,3.0,-1.0,0.0
00c2307c,55,441,2838,0.0,2.0,4.0,100.0,2.0,3.5,100.0,-1.0,0.0
00c2f60d,21,381,3900,8.0,0.0,1.0,20.0,0.0,1.0,8.0,-1.0,0.0
00c40a4b,0,0,2,0.0,0.0,2.0,65.0,0.0,2.0,65.0,-1.0,0.0
00c955ce,1,22,742,1.0,2.0,1.0,26.0,4.0,0.5,19.5,-1.0,0.0
00c9a4eb,0,0,1,0.0,0.0,1.0,20.0,0.0,1.0,20.0,-1.0,0.0
00ca06d3,3,76,913,3.0,0.0,0.0,8.0,0.0,0.0,0.0,-1.0,0.0
00caa482,4,62,877,4.0,1.0,4.0,131.0,0.0,2.0,30.0,14.0,14.0
00cd1373,1,17,242,2.0,2.0,2.0,54.0,4.0,0.0,0.0,0.0,0.0
00cde0db,0,6,60,1.0,0.0,0.0,23.0,0.0,0.0,1.0,-1.0,0.0
00d21f5e,12,290,8714,12.0,0.0,0.0,12.0,0.0,1.0,22.0,-1.0,0.0
00d4b0c1,0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00d618ba,1,11,120,1.0,1.0,2.0,38.0,0.0,0.0,1.0,-1.0,0.0
00d8d869,0,0,3,0.0,0.0,3.0,66.0,0.0,3.0,66.0,-1.0,0.0
00dabbf1,0,0,1,0.0,0.0,1.0,56.0,0.0,1.0,56.0,-1.0,0.0
00dcc618,0,0,1,0.0,0.0,2.0,30.0,0.0,2.0,30.0,-1.0,0.0
00e0e219,10,258,5162,11.0,0.0,2.0,106.0,0.0,4.0,212.0,-1.0,0.0
00e2e06b,12,129,4307,0.0,7.0,0.0,13.0,7.0,0.5,13.25,-1.0,0.0
00e3c94f,0,0,0,0.0,0.0,1.0,26.0,0.0,1.0,26.0,-1.0,0.0
00e6a700,22,404,13849,0.0,0.0,1.0,44.0,0.0,1.0,44.0,-1.0,0.0
00ea5497,10,101,2646,4.0,2.0,1.0,32.0,0.0,0.0,0.0,-1.0,0.0
00ecfd1a,4,79,800,5.0,1.0,2.0,58.0,0.0,0.0,11.0,0.0,0.0
00f1575c,0,0,2,0.0,0.0,3.0,77.0,0.0,3.0,77.0,-1.0,-1.0
00f369ef,2,49,1110,4.0,1.0,1.0,32.0,3.0,1.5,51.5,-1.0,0.0
00f4620f,0,0,2,0.0,0.0,2.0,34.0,0.0,2.0,34.0,-1.0,0.0
00f49191,3,78,720,4.0,0.0,1.0,15.0,2.0,0.5,13.5,-1.0,1.0
00f5c8be,8,185,2223,8.0,0.0,1.0,48.0,0.0,1.0,66.0,-1.0,-1.0
00fa4cd7,1,11,396,1.0,2.0,1.0,16.0,0.0,1.0,33.0,0.0,0.0
00fd99c6,0,11,97,1.0,0.0,2.0,37.0,0.0,0.0,1.0,-1.0,0.0
00ff2c51,11,236,2130,14.0,0.0,1.0,56.0,0.0,2.0,126.0,-1.0,0.0
010200b5,0,0,3,0.0,1.0,0.0,16.0,1.0,0.0,15.5,-1.0,0.0
01022bf3,2,45,499,2.0,0.0,3.0,103.0,0.0,1.0,43.0,-1.0,0.0
010358c1,0,0,2,0.0,0.0,3.0,53.0,0.0,3.0,53.0,-1.0,0.0
01039bf1,1,47,190,2.0,0.0,2.0,42.0,0.0,1.0,14.0,0.0,0.0
01067e00,0,0,0,0.0,0.0,1.0,15.0,0.0,1.0,15.0,-1.0,0.0
010750dc,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,-1.0
0107bdfc,2,14,197,2.0,0.0,1.0,25.0,0.0,2.0,84.0,-1.0,0.0
01083011,0,0,0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,-1.0,0.0
01094049,0,6,179,1.0,4.0,1.0,32.0,8.0,1.25,39.75,-1.0,0.0
010b0b0b,1,14,241,2.0,2.0,2.0,63.0,1.0,0.5,23.0,0.0,12.0
010dce63,0,6,196,1.0,2.0,1.0,29.0,3.0,1.5,32.5,-1.0,0.0
010f9396,12,305,2292,12.0,0.0,0.0,14.0,0.0,1.0,28.0,-1.0,0.0
01102549,0,0,0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,-1.0,0.0
011120d7,0,11,238,0.0,12.0,0.0,38.0,12.0,0.5,38.0,-1.0,0.0
01118279,0,0,1,0.0,0.0,2.0,93.0,0.0,2.0,93.0,-1.0,0.0
0111d9af,0,0,0,0.0,0.0,1.0,19.0,0.0,1.0,19.0,-1.0,0.0
01126aa4,0,0,0,0.0,0.0,1.0,18.0,0.0,1.0,18.0,-1.0,0.0
01127f1d,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
01183209,0,0,9,0.0,1.0,6.0,206.0,1.0,6.5,206.0,-1.0,0.0
011beb42,5,53,959,2.0,2.0,3.0,130.0,3.0,0.0,0.5,0.0,26.0
011d982c,0,0,1,0.0,0.0,1.0,35.0,0.0,1.0,35.0,-1.0,0.0
011e43e5,0,0,0,0.0,0.0,1.0,23.0,0.0,1.0,23.0,-1.0,0.0
011fbf97,9,138,2677,1.0,0.0,1.0,44.0,0.0,0.0,4.0,-1.0,27.0
011fef85,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,-1.0,0.0
0121c41e,0,4,71,1.0,3.0,1.0,30.0,6.0,1.0,34.25,-1.0,0.0
0126d440,0,0,0,0.0,0.0,1.0,20.0,0.0,1.0,20.0,-1.0,0.0
0127932b,0,2,30,0.0,3.0,2.0,78.0,3.0,2.0,78.0,-1.0,0.0
0129072b,5,143,2159,6.0,0.0,0.0,32.0,0.0,0.0,17.0,-1.0,0.0
012af91b,0,0,5,0.0,0.0,5.0,222.0,0.0,5.0,222.0,-1.0,0.0
012b81de,0,2,6,0.0,2.0,0.0,22.0,2.0,0.5,21.5,-1.0,0.0
012cd55c,0,0,2,0.0,0.0,3.0,91.0,0.0,3.0,91.0,-1.0,0.0
012d8fd8,5,93,1870,6.0,1.0,1.0,17.0,0.0,1.0,9.0,-1.0,-1.0
013136c4,0,0,0,0.0,0.0,1.0,25.0,0.0,1.0,25.0,-1.0,0.0
01319a6d,1,10,290,1.0,9.0,1.0,22.0,1.0,0.0,5.0,-1.0,-1.0
013288eb,0,2,39,0.0,2.0,1.0,32.0,2.0,1.3333333333333333,32.333333333333336,-1.0,0.0
0132a515,0,0,1,0.0,0.0,1.0,55.0,0.0,1.0,55.0,-1.0,0.0
0137a57b,5,98,1684,3.0,2.0,1.0,20.0,0.0,0.0,1.0,0.0,0.0
01395e75,24,591,17744,0.0,0.0,1.0,27.0,0.0,1.0,27.0,-1.0,0.0
013a0e3a,10,224,6734,0.0,0.0,0.0,9.0,0.0,0.0,9.0,-1.0,-1.0
013dc935,0,0,0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,-1.0,0.0
013e1cd0,1,14,291,1.0,0.0,0.0,27.0,0.0,0.0,4.0,-1.0,0.0
013ef20d,0,0,2,0.0,0.0,3.0,90.0,0.0,3.0,90.0,-1.0,0.0
013fce70,0,0,4,0.0,1.0,2.0,38.0,1.0,1.5,37.5,-1.0,0.0
0143d796,0,0,4,0.0,0.0,5.0,70.0,0.0,5.0,70.0,-1.0,0.0
014412d6,2,71,4307,3.0,0.0,0.0,4.0,0.0,0.0,5.0,-1.0,-1.0
0144bd58,2,56,1136,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0145565a,63,504,5046,0.0,1.0,1.0,22.0,1.0,1.3333333333333333,22.0,-1.0,0.0
0146d5e8,2,42,316,4.0,2.0,1.0,28.0,4.0,1.0,19.0,-1.0,2.0
0146ecbc,0,0,0,0.0,0.0,1.0,23.0,0.0,1.0,23.0,-1.0,0.0
01477f15,1,29,369,2.0,0.0,1.0,22.0,1.0,0.0,0.0,-1.0,-1.0
014853d4,7,123,2464,4.0,1.0,2.0,52.0,7.0,1.0,33.0,-1.0,14.0
0148562c,0,0,2,0.0,1.0,2.0,98.0,1.0,2.0,98.0,-1.0,0.0
01488a35,0,0,3,0.0,0.0,3.0,114.0,0.0,3.0,114.0,-1.0,0.0
014bca6c,0,0,0,0.0,0.0,1.0,11.0,0.0,1.0,11.0,-1.0,0.0
015d002b,138,1659,66390,0.0,2.0,0.0,3.0,2.0,0.0,3.0,-1.0,-1.0
015dfe12,0,0,2,0.0,0.0,2.0,82.0,0.0,2.0,82.0,-1.0,0.0
015eb48a,0,0,19,0.0,1.0,0.0,16.0,1.0,0.3333333333333333,16.0,-1.0,0.0
015f1a84,1,14,65,1.0,2.0,1.0,21.0,0.0,1.0,19.0,-1.0,0.0
015fb139,0,0,1,0.0,1.0,2.0,52.0,1.0,1.5,52.5,-1.0,0.0
01605eaa,0,0,0,0.0,0.0,1.0,23.0,0.0,1.0,23.0,-1.0,0.0
01638753,20,245,3270,20.0,4.0,1.0,25.0,7.0,1.0,19.0,-1.0,-1.0
0163bf88,1,16,267,2.0,1.0,2.0,57.0,0.0,3.0,46.0,0.0,0.0
016419e1,4,79,2031,4.0,2.0,0.0,9.0,7.0,0.5,5.5,-1.0,0.0
0165b04a,0,0,1,0.0,0.0,1.0,27.0,0.0,1.0,27.0,-1.0,-1.0
0165d283,0,0,0,0.0,0.0,1.0,20.0,0.0,1.0,20.0,-1.0,0.0
0165db0d,8,214,8834,6.0,0.0,1.0,13.0,0.0,0.0,0.0,-1.0,0.0
01692bd2,0,0,0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,-1.0,0.0
01696aab,9,167,5653,6.0,0.0,0.0,21.0,0.0,0.0,17.0,-1.0,2.0
016a78e4,1,16,192,2.0,3.0,2.0,64.0,1.0,1.6666666666666667,77.0,0.0,4.0
016b86b9,4,60,649,6.0,4.0,1.0,24.0,0.0,0.0,1.0,23.0,24.0
016d0c8f,0,0,0,0.0,0.0,1.0,20.0,0.0,1.0,20.0,-1.0,-1.0
016efcb7,6,139,1336,6.0,0.0,2.0,54.0,0.0,2.0,80.0,-1.0,-1.0
016f3833,5,130,1120,5.0,0.0,2.0,45.0,0.0,0.0,0.0,0.0,2.0
016f7879,0,0,16,0.0,1.0,1.0,40.0,1.0,0.6666666666666666,40.333333333333336,-1.0,0.0
01716e05,42,768,20510,0.0,9.0,1.0,18.0,9.0,1.0,18.5,-1.0,0.0
0172d307,0,2,21,0.0,2.0,1.0,28.0,2.0,1.0,28.0,-1.0,-1.0
0173b599,0,0,0,0.0,0.0,1.0,12.0,0.0,1.0,12.0,-1.0,0.0
0178b595,1,18,135,2.0,2.0,1.0,33.0,0.0,1.0,17.0,-1.0,0.0
01798556,2,19,267,2.0,3.0,5.0,110.0,0.0,1.0,9.0,-1.0,3.0
017a84d1,2,51,2223,2.0,0.0,1.0,16.0,0.0,0.0,0.0,-1.0,0.0
017a9049,0,0,0,0.0,0.0,1.0,8.0,0.0,1.0,8.0,-1.0,0.0
017d35dc,0,3,50,0.0,4.0,2.0,66.0,4.0,2.5,65.5,-1.0,0.0
017fd805,2,24,157,2.0,0.0,2.0,50.0,0.0,2.0,44.0,0.0,0.0
01855dab,0,4,18,1.0,0.0,2.0,60.0,1.0,2.0,49.5,-1.0,0.0
018598e8,4,81,1521,4.0,0.0,1.0,40.0,0.0,0.0,1.0,0.0,10.0
018774cf,0,15,236,1.0,7.0,1.0,20.0,0.0,1.0,34.0,-1.0,0.0
018954fd,2,72,782,3.0,0.0,1.0,14.0,0.0,1.0,13.0,-1.0,0.0
018adf26,0,2,25,1.0,0.0,2.0,24.0,0.0,0.0,1.0,-1.0,-1.0
018c1154,0,7,144,1.0,8.0,2.0,25.0,11.0,2.0,33.5,-1.0,0.0
0190f87d,2,34,586,2.0,1.0,2.0,25.0,0.0,4.0,87.0,-1.0,0.0
01914d78,5,108,2104,2.0,0.0,1.0,15.0,0.0,2.0,20.0,-1.0,39.0
019425a8,1,26,136,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0195ed3b,0,0,0,0.0,0.0,1.0,12.0,0.0,1.0,12.0,-1.0,0.0
0196054a,20,358,10046,4.0,0.0,1.0,28.0,0.0,0.0,3.0,-1.0,0.0
01984bc3,0,9,127,1.0,4.0,0.0,20.0,3.0,0.0,2.5,-1.0,0.0
019ac712,0,0,0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,-1.0,0.0
019c24ae,0,0,6,0.0,1.0,1.0,21.0,1.0,1.3333333333333333,21.0,-1.0,0.0
019c7c78,0,0,2,0.0,0.0,2.0,65.0,0.0,2.0,65.0,-1.0,0.0
01a20e81,58,927,16695,0.0,0.0,1.0,26.0,0.0,1.0,26.0,-1.0,0.0
01a46372,2,62,1509,2.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0
01a5aa29,0,5,39,1.0,5.0,3.0,131.0,2.0,5.5,309.0,-1.0,0.0
01ab5296,0,0,16,0.0,1.0,0.0,4.0,1.0,0.0,4.0,-1.0,0.0
01ac5844,1,32,242,1.0,0.0,1.0,21.0,0.0,1.0,26.0,-1.0,0.0
01ad4042,2,52,787,3.0,0.0,8.0,172.0,0.0,12.0,300.0,-1.0,-1.0
01ada784,0,0,1,0.0,1.0,2.0,93.0,1.0,2.0,93.0,0.0,0.0
01add051,0,0,1,0.0,0.0,1.0,49.0,0.0,1.0,49.0,-1.0,0.0
01af6573,1,17,403,2.0,3.0,1.0,21.0,0.0,2.0,35.0,-1.0,23.0
01b08442,6,144,3864,6.0,0.0,0.0,7.0,0.0,0.0,0.0,-1.0,0.0
01b09758,2,40,785,1.0,3.0,2.0,61.0,4.0,2.5,58.25,0.0,22.0
01b12d02,0,0,0,0.0,0.0,1.0,34.0,0.0,1.0,34.0,-1.0,0.0
01b47d4f,1,23,474,2.0,4.0,1.0,35.0,5.0,0.5,14.5,-1.0,0.0
01b65cfa,0,14,190,1.0,0.0,2.0,33.0,0.0,0.0,6.0,-1.0,0.0
01b79980,13,315,2707,13.0,0.0,1.0,11.0,0.0,1.0,9.0,-1.0,-1.0
01b860b1,0,0,11,1.0,0.0,5.0,68.0,1.0,6.0,80.5,-1.0,0.0
01b91332,0,0,1,0.0,0.0,1.0,17.0,0.0,1.0,17.0,-1.0,0.0
01b97cb9,1,20,729,2.0,0.0,0.0,16.0,0.0,2.0,51.0,0.0,1.0
01be1d14,0,0,1,0.0,0.0,2.0,54.0,0.0,2.0,54.0,-1.0,0.0
01c0bf0e,0,5,114,0.0,6.0,1.0,24.0,6.0,1.0,24.0,-1.0,0.0
01c3addd,0,0,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
01c407bd,0,4,36,0.0,4.0,1.0,24.0,4.0,1.0,24.333333333333332,-1.0,0.0
01c6281f,0,0,1,0.0,0.0,1.0,24.0,0.0,1.0,24.0,-1.0,-1.0
01c631cf,0,0,0,0.0,0.0,1.0,36.0,0.0,1.0,36.0,-1.0,0.0
01c862be,0,0,0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,-1.0,0.0
01c8b35d,0,0,1,0.0,0.0,2.0,20.0,0.0,2.0,20.0,-1.0,-1.0
01c9f8d2,0,0,2,0.0,0.0,2.0,90.0,0.0,2.0,90.0,0.0,0.0
01caf5bf,0,0,0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,-1.0,-1.0
01cbe6b3,4,114,1374,5.0,0.0,1.0,29.0,0.0,0.0,0.0,-1.0,0.0
01cd8ca8,1,12,376,1.0,1.0,0.0,5.0,2.0,0.5,6.0,-1.0,0.0
01cf1230,1,46,510,2.0,0.0,1.0,18.0,0.0,1.0,24.0,-1.0,1.0
01d18619,0,0,0,0.0,0.0,1.0,18.0,0.0,1.0,18.0,-1.0,0.0
01d28bce,0,0,11,0.0,0.0,12.0,231.0,0.0,12.0,231.0,-1.0,0.0
01d8711d,0,0,6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
01dfb178,0,0,1,0.0,0.0,1.0,36.0,0.0,1.0,36.0,-1.0,-1.0
01e18191,0,0,0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,-1.0,0.0
